Company Name,Description,Milestone Title,Milestones Status,Resource Name,Resource URL,Market Cap,Total Token Supply,Tokens Available Tokens For ICO,Company Core Team Name,Company Core Team URL,Advisory Team Name,Advisory Team URL,Escrow,Escrow URL,Additional Links Name,Additional Links URL,ICO Start Date,ICO Start Time,ICO End Date,ICO End Time,Company Email,Twitter,Slack,Telegram,Github,CoinMArket,Facebook,Address,Site URL,Company  Logo,Discord
Test,This iis ICO2,Test Milestone1,Completed,This  is test resource1,www.testresoure1.com,12,1,5,Kranthi Core Team,www.kranthilinked.com,Test Advisory team,www.testadvisory.com,This is Escrow1,kkk1.com,www.testAdditional.com,www.testAdditional.com,2018-03-06,0:30,2018-02-07,1:03,k@gmail.com,kranthi.in,kranthi.slack.in,Kranthi Godari,kranti.github.com,coinmarket.cap,facebook.com,This is Test address,www.ktanth.com,sample1.png,Discord 1
,,Test Milestone2,Completed,This  is test resource2,www.testresoure2.com,,,,,,,,This is Escrow2,kkk2.com,,,,,,,,,,,,,,,,,
,,Test Milestone3,Completed,This  is test resource3,www.testresoure3.com,,,,,,,,This is Escrow3,kkk3.com,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,This is Escrow4,kkk4.com,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,This is Escrow5,kkk5.com,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,This is Escrow 6,kkk6.com,,,,,,,,,,,,,,,,,
Test 2,This is Just a Test,,,This  is test resource1,www.testresoure2.com,11,2,,,,,,,,,,,,,,,,,,,,,,,sample_pic.png,Discord 2
,,,,This  is test resource1,www.testresoure2.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,This  is test resource1,www.testresoure2.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,This  is test resource1,www.testresoure2.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,This  is test resource1,www.testresoure2.com,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,This  is test resource1,www.testresoure2.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Test 3,Trest 3,,,This  is test resourc3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,This  is test resource3,,,,,,,,,,,,,,,,,,,,,,,,,,,
